scorer,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5
bodyparts,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,nose,nose,left_shoulder,left_shoulder,right_shoulder,right_shoulder,lower_neck,lower_neck,left_elbow,left_elbow,right_elbow,right_elbow,left_wrist,left_wrist,right_wrist,right_wrist,left_hip,left_hip,right_hip,right_hip,left_knee,left_knee,right_knee,right_knee,left_ankle,left_ankle,right_ankle,right_ankle,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,nose,nose,left_shoulder,left_shoulder,right_shoulder,right_shoulder,lower_neck,lower_neck,left_elbow,left_elbow,right_elbow,right_elbow,left_wrist,left_wrist,right_wrist,right_wrist,left_hip,left_hip,right_hip,right_hip,left_knee,left_knee,right_knee,right_knee,left_ankle,left_ankle,right_ankle,right_ankle,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,nose,nose,left_shoulder,left_shoulder,right_shoulder,right_shoulder,lower_neck,lower_neck,left_elbow,left_elbow,right_elbow,right_elbow,left_wrist,left_wrist,right_wrist,right_wrist,left_hip,left_hip,right_hip,right_hip,left_knee,left_knee,right_knee,right_knee,left_ankle,left_ankle,right_ankle,right_ankle,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,nose,nose,left_shoulder,left_shoulder,right_shoulder,right_shoulder,lower_neck,lower_neck,left_elbow,left_elbow,right_elbow,right_elbow,left_wrist,left_wrist,right_wrist,right_wrist,left_hip,left_hip,right_hip,right_hip,left_knee,left_knee,right_knee,right_knee,left_ankle,left_ankle,right_ankle,right_ankle,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,nose,nose,left_shoulder,left_shoulder,right_shoulder,right_shoulder,lower_neck,lower_neck,left_elbow,left_elbow,right_elbow,right_elbow,left_wrist,left_wrist,right_wrist,right_wrist,left_hip,left_hip,right_hip,right_hip,left_knee,left_knee,right_knee,right_knee,left_ankle,left_ankle,right_ankle,right_ankle
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\sonso10\img0020.png,,,398.20406589272153,309.4055337602005,,,,,,,348.85766770385965,336.6447455604523,,,,,,,,,,,,,358.33217615612114,367.04212684479126,395.83543877965616,361.51533024763876,355.96354904305576,399.8081352421956,400.57269300578696,398.6238216856629,354.1475590065193,450.6424400566507,400.177921820276,434.9427707526653,536.0374018144447,393.88985387955375,,,,,,,,,522.681310690434,409.42019239584533,,,537.5904356660739,411.5944397881262,497.83276906436737,455.0793876337426,,,,,,,505.908545092839,475.5794344752475,531.0676934892314,478.37489540818,,,,,,,,,,,654.4529360605945,321.5164524398412,,,,,,,592.5033027376123,346.4949913871032,631.2876827382293,347.0663641924499,613.429986299665,339.0236799516427,,,,,,,,,565.2892772817415,440.69738719588713,600.0863709757012,444.25646505448384,,,,,,,,,698.6342330098993,65.46534421420813,,,,,,,,,698.0830519920667,80.89841271352157,,,715.169663544878,83.65431780268466,663.9098288864441,34.0480261977487,,,,,663.9098288864441,122.23698905096819,681.547621457088,164.12674640624743,,,638.0043210483109,190.03225424438065,,,639.1066830839761,237.98500279581876,688.712974688912,179.55981490556084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\sonso10\img0063.png,,,434.40722726846906,266.4369546408909,,,,,,,,,441.74957053604226,277.45046954225074,423.8526088213326,275.1559872711341,,,456.4342570711887,341.23707667929295,,,,,401.825579018613,332.9769405032731,442.6673634444889,328.8468724152632,399.072200293273,368.31196747846917,445.4207421698289,366.01748520735254,399.53109674749635,420.62616325992826,446.3385350782755,405.4825802705585,582.7625118168344,359.1359421129175,,,,,,,,,565.5388654236051,379.80431778479254,,,594.2449427456539,377.5078315990287,545.6359851469848,420.7583214309153,,,,,,,554.439182192413,443.34043559092686,578.5522871429339,444.87142638143615,,,,,,,,,709.2323766978795,285.3725453172772,663.2645786043038,289.8472867246164,701.9100725767789,296.7627961723225,688.4858483547612,298.38997486590046,699.8760992098066,307.74625235397343,,,662.0441945841203,321.17047657599113,654.3150957896253,305.712278987001,,,,,,,,,608.3811493252069,412.0604701784937,643.3559070143527,417.95071677522037,,,,,,,,,,,,,,,,,,,743.2038254945323,56.17983067780045,,,760.3412663423713,55.27786010686157,719.7525906501209,18.748051983836092,,,,,709.8309143697929,89.10175651707033,729.2232816449794,127.43550578197357,,,681.4188413852175,154.94560819561005,,,680.9678560997481,203.65201902631065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\sonso10\img0087.png,,,410.55221249711326,287.6594527910272,,,,,,,,,419.5998871295077,299.723018967553,401.0736962155572,296.2762857742599,,,433.38681990268003,361.3333747976672,,,,,379.962455406637,353.5782251127577,418.30736218202276,349.26980862114135,378.23908880999045,389.76892364233527,425.63167021777065,388.0455570456887,376.94656386250557,441.9007631908934,419.5998871295077,429.4063553652059,562.1935157830824,382.59192337230786,,,,,,,,,539.9500631984583,406.6148521637018,,,572.870373023702,397.71747112985224,521.7104320790665,443.09411440248533,,,,,,,527.4937297510688,462.66835267695456,559.5243014729275,463.5580907803395,,,,,,,,,,,636.4877741167372,315.304757894547,678.3043382748201,314.9718275150507,666.7377429308156,316.30643467012806,679.1940763782051,325.20381570397774,,,654.5690959789952,345.1450509069466,625.7948855589395,328.8752678858149,,,,,,,,,582.0511536787116,436.1962995211145,625.3366704356962,441.1154691189238,,,,,,,,,,,,,,,,,,,721.3175977486308,72.70245047271268,,,735.5003279978869,70.25715215387541,690.9958985950484,29.66520006117662,,,,,689.0396599399787,109.38192525527182,711.0473448095141,142.14892272769134,724.7410153950029,158.2878916320174,661.6523187690011,176.38309919141324,,,662.6304380965361,224.8000059043913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\sonso10\img0140.png,,,361.92599267669397,324.77397601213966,,,,,,,,,367.601078957744,336.833534359371,349.15704854433136,333.6412983262803,,,382.14348755293474,402.80641237657767,,,,,320.07223135395,391.10154692191196,368.3104647428753,390.7468540293463,327.16608920526255,431.53653667439346,372.2120865610972,435.43815849261534,324.3285460647375,486.51393502206565,371.85739366853153,470.5527548566124,505.6144545870359,421.94628211210596,,,,,,,,,496.3924393803295,442.7549318092894,,,522.4032515018089,434.9516881728456,480.3130282506878,473.4949824983104,,,,,,,494.73720588169,503.76210933057723,521.9303276450546,505.1808809008397,,,,,,,,,,,611.1332415373433,347.2567360839399,,,638.3363828739443,346.53131898163053,648.4922223062754,353.06007290241484,,,606.0553218211778,376.6361287274691,584.6555173030516,363.94132943705523,,,,,,,,,542.5561602089683,475.6912929908576,580.8359157113422,479.2826487042438,,,,,,,,,,,,,,,,,,,680.3096501515711,97.62696479715979,,,688.5473066993516,92.68437086849156,644.0639613413375,49.29937971684825,,,,,645.7114926508937,135.52018491694952,666.5802225719372,178.35599896540745,678.662118842015,195.92966626733894,617.7034603884404,209.6590938469729,,,620.4493459043672,259.6342102368405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\sonso10\img0185.png,,,376.47408236990964,324.8758712931425,,,,,,,,,382.31370578854364,337.4535217332773,359.40441391544095,333.41070552037684,,,396.688163434412,412.02102077121936,,,,,334.69831483660477,399.44337033108457,378.7200913770765,395.84975591961745,333.3507094323046,441.6683396658228,380.06769678137675,437.6255234529224,332.00310402800443,503.6581882636301,382.31370578854364,489.7329324191951,536.4896061241351,431.1420164935058,575.2500761308646,437.60209482796074,,,,,,,528.3442899633005,456.13971091813573,567.1047599700302,461.4762973683376,550.5332546772979,449.39875961261754,505.87445227823997,497.98978360656116,,,,,,,507.5596901046195,531.1327941920256,539.8600817768942,533.3797779605317,,,,,,,,,,,673.267906748691,347.45642096836167,,,703.9732925770495,345.5954884939157,,,,,675.9728122100812,390.9936294766111,642.0972878017209,368.85714442449034,,,688.1553665442588,444.6901427581638,,,,,577.6628210709623,497.63295602960386,631.9724832818056,500.35150007682864,,,,,,,,,,,,,,,,,,,727.8329998008254,67.16636000569969,,,,,697.6336439305614,15.678933603938106,,,,,675.3554305836453,111.72278669953178,735.2590709164641,156.2792133933639,721.3970715006052,186.4785692636279,673.3751449528083,160.73485606274713,,,707.0400006770371,208.2617112028347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\sonso10\img0233.png,,,,,,,,,,,257.81402645067146,361.52971835480605,303.0463878687016,333.4308271708783,,,258.8420346647176,414.3008066758412,305.78774310615796,425.2662276256667,265.35275335367646,469.81325023433277,295.85033037037863,465.01587856878416,297.56367739378885,388.2579319200057,,,279.7448683503224,431.09160750526155,324.6345603636705,435.5463097661281,284.88490942055313,473.5826136858353,315.7251558419373,471.183927853061,,,492.15922894660446,441.1587885434196,,,,,,,447.978982835827,460.9538338787679,480.6838403464025,471.2816836189496,470.35599060622076,454.92925486366187,428.7577069304888,497.6750773994141,,,,,,,431.33966936553423,537.2651680701107,462.8969880160895,538.6995916451359,,,,,,,,,,,565.4742474065945,346.9911878497502,611.0670930305209,350.2478196800306,602.692896895514,351.1782859172536,616.6498904538589,363.2743470011525,,,572.9179773043784,385.14030357589263,551.9824869668612,370.25284378032484,614.0022140751961,441.6238221866416,591.0620689302267,444.6901427581638,,,,,,,531.5468473734871,494.56746811324496,,,,,,,,,632.0969736165315,67.73709207365158,,,,,,,,,655.379461671232,58.52110721866595,,,,,639.8578029680984,18.261804957412892,,,,,608.8144855618309,124.00310487251127,682.5423644017161,170.0830291474395,,,628.7016107752211,146.315489258266,,,654.4093580022862,194.82067270555885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
